Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"3-к. квартира, 90,1 м², 24/27 эт.",40000000,"Москва, ул. Зорге, 9к2",2 мая 16:10,"Агентство недвижимости &quot;Мегаполис-Сервис ЭстейтЛига&quot;, Москва","Агентство недвижимости ""Мегаполис-Сервис ЭстейтЛига"", Москва",4961703543,3,1,60 м²,20 м²,24,27,,"совмещенный, раздельный",,"во двор, на улицу",требует ремонта,,,,"Год постройки, расположение, ремонт и",монолитный,", расположение, ремонт и ещё 12 параметров  
Проверка в Росреестре
1 собственник
Последняя смена собственника 25 декабря 2024
Не найдены ограничения и обременения 
Не совпало что-то в параметрах",,,", на улицу
Ремонт",,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50859800,55.78230900",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_901_m_2427_et._4961703543
"3-к. квартира, 139,6 м², 2/11 эт.",145000000,"Москва, ул. Усачёва, 2с3",24 апреля 15:51,ЧестнокофЪ,ЧестнокофЪ,5185913769,3,6,,12 м²,2,11,3 м,совмещенный,,на улицу,косметический,,есть,,"По необходимости поделимся контактами надежных партнеров в направлении ремонта квартир, дизайнеров, а также поможем с квартирным переездом под ключ.",монолитный,2008,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Фьюжн парк,,"ПОКУПКА максимально простая. Квартира без обременений. Быстрый выход на сделку. Свободная продажа. Поможем сделать выгодный трейд-ин, выкупим вашу квартиру. Прямая продажа от собственника. Подойдет под ипотеку, которую мы поможем бесплатно одобрить на выгодных условиях.",свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57406700,55.73043100",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1396_m_211_et._5185913769
"Аукцион: 3-к. квартира, 57,7 м², 12/22 эт.",9545000,"Москва, ул. Верхние Поля, 28",,Департамент недвижимости,Департамент недвижимости,7278836047,3,7,33.8 м²,10.2 м²,12,22,,раздельный,балкон,"во двор, на улицу",косметический,,есть,,дизайнерский ремонт,панельный,2000,,,", на улицу
Ремонт",есть,Жк Донской,,аукцион,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.75576000,55.66647200",https://www.avito.ru/moskva/kvartiry/auktsion_3-k._kvartira_577_m_1222_et._7278836047
"3-к. квартира, 75 м², 14/17 эт.",18990000,"Москва, Волгоградский пр-т, 170к1",,ЕГСН,ЕГСН,7306242655,3,75,46 м²,12 м²,14,17,,раздельный,лоджия,во двор,косметический,,,,"Год постройки, расположение, ремонт и",панельный,", расположение, ремонт и ещё 12 параметров  
Расположение
Москва, Волгоградский пр-т, 170к1
Юго-Восточная21",1,1,Ремонт,открытая во дворе,Жк Донской,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.81105200,55.69122200",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_75_m_1417_et._7306242655
"3-к. квартира, 117 м², 6/13 эт.",187200000,"Москва, Погодинская ул., 2",,GRealty,GRealty,7382085255,3,117,,40 м²,6,13,3 м,совмещенный,,"во двор, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитный,2019,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57235100,55.73571800",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_117_m_613_et._7382085255
"3-к. квартира, 62,5 м², 11/14 эт.",14000000,"Москва, Совхозная ул., 4к3",,МИЭЛЬ,МИЭЛЬ,7292349561,3,5,39.3 м²,7.8 м²,11,14,,раздельный,балкон,на улицу,косметический,,,,дизайнерский ремонт,панельный,1985,1,,"е
Узнать больше о доме
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк",открытая во дворе,Жк Донской,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.74445900,55.66795500",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_625_m_1114_et._7292349561
"3-к. квартира, 83,5 м², 13/26 эт.",20883016,"пр-д 2-й Иртышский, корп. 1.5",25 апреля 12:34,ПИК,ПИК,4993454867,3,5,33.8 м²,26.5 м²,13,26,2.7 м,совмещенный,"ами, угловыми окнами или окнами в пол.

Проект состоит из зданий разной высоты и разной по характеру архитектуры. Узнаваемой доминантой квартала станет башня из стекла и металла, напоминающая водопад.

Квартал расположен в окружении нескольких знаковых рекреационных зон столицы. Вам понадобится всего несколько минут, чтобы оказаться в атмосфере спокойствия и слияния с природой. Всего 15 минут пешком, и вы в",во двор,,,,,чистовая,монолитный,,1,,Отделка,"Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк ДОМ.РФ
22",ЖК «2-й Иртышский»,Корпус 1.5,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.76597000,55.81445000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_835_m_1326_et._4993454867
"3-к. квартира, 92 м², 18/23 эт.",34200000,"Москва, пр. Берёзовой Рощи, 4",23 апреля 13:21,Houzz Realty,Houzz Realty,4683702883,3,92,,15 м²,18,23,,"совмещенный, раздельный",,,требует ремонта,,,,дизайнерский ремонт,монолитный,2006,2,1,"закрытая территория, детская площадка, спортивная площадка",,Жк Пехра,ов. К услугам жителей,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52022200,55.78676400",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_92_m_1823_et._4683702883
"3-к. квартира, 89 м², 25/44 эт.",37000000,"Москва, Ходынская ул., 2",,Capital Farn,Capital Farn,4223725968,3,89,,15 м²,25,44,3 м,совмещенный,"балкон, лоджия","во двор, на улицу, на солнечную сторону",евро,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитный,2018,2,2,"закрытая территория, детская площадка, спортивная площадка","подземная, наземная многоуровневая, за шлагбаумом во дворе",Пресня Сити,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.56421200,55.77080600",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_89_m_2544_et._4223725968
"3-к. квартира, 75 м², 7/15 эт.",20500000,"Москва, Зеленоград, Георгиевский пр-т, 37к2",24 апреля 11:58,Агентство недвижимости ОГРК-ЦЕНТР,Агентство недвижимости ОГРК-ЦЕНТР,7257502450,3,75,44 м²,14 м²,7,15,,"совмещенный, раздельный",балкон,во двор,дизайнерский,,".
На этаже общая дверь .
Во дворе дома детские площадки.

В районе развитая инфраструктура. Школа, детский сад",,дизайнерский ремонт,монолитный,,,,Ремонт,,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.15064600,55.96691200",https://www.avito.ru/moskva_zelenograd/kvartiry/3-k._kvartira_75_m_715_et._7257502450
"3-к. апартаменты, 71,3 м², 2/29 эт.",23315100,"ул. Намёткина, д. 10, сек. 1",,ГК Основа,ГК Основа,2926837348,3,3,57.4 м²,8.9 м²,2,29,,,,,,,,,без отделки,монолитный,,,,"овое пространство, выполненное в концепции",есть,«NAMETKIN TOWER» (Наметкин Тауэр),Секция 1,прямая продажа,,ДДУ по ФЗ 214,Сдача в 2 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55159000,55.66158000",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_713_m_229_et._2926837348
"3-к. квартира, 87,5 м², 10/11 эт.",41983000,"Москва, Краснопролетарская ул., 7",,АН &quot;SweetHome&quot;,"АН ""SweetHome""",7258194848,3,5,34.5 м²,15.9 м²,10,11,,совмещенный,,во двор,дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина",дизайнерский ремонт,монолитный,1998,1,1,закрытая территория,подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.60726900,55.77498800",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_875_m_1011_et._7258194848
"3-к. квартира, 115 м², 28/30 эт.",48900000,"Москва, ул. Врубеля, 8",5 мая 16:24,Whitewill,Whitewill,7273906889,3,115,79 м²,15 м²,28,30,,кладовую,,"во двор, на улицу, на солнечную сторону",дизайнерский,,,,с,монолитно-кирпичный,,2,,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Сказочный Лес,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49931800,55.80566500",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_115_m_2830_et._7273906889
"3-к. квартира, 74,7 м², 13/17 эт.",21500000,"Москва, Новомосковский административный округ, поселение Внуковское, ул. Самуила Маршака, 18",11 мая 20:47,ИНКОМ-Недвижимость,ИНКОМ-Недвижимость,7324411982,3,7,42.7 м²,13 м²,13,17,,раздельный,лоджия,во двор,дизайнерский,,,,дизайнерский ремонт,панельный,2014,1,1,Ремонт,открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.32599700,55.63668200",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_747_m_1317_et._7324411982
"3-к. апартаменты, 135 м², 68/68 эт.",110809000,"Москва, 1-й Красногвардейский пр., 22с1",10 мая 16:53,YAKIMANKA 24,YAKIMANKA 24,7217640624,3,135,,20 м²,68,68,,совмещенный,,на улицу,дизайнерский,,,,дизайнерский ремонт,монолитный,2020,4,2,"закрытая территория, спортивная площадка",подземная,Жк Сказочный Лес,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.53372400,55.75113300",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_135_m_6868_et._7217640624
"3-к. квартира, 95 м², 15/20 эт.",40000000,"Москва, Автозаводская ул., 26/1",8 мая 17:57,Livable Spaces,Livable Spaces,7325746710,3,95,,21 м²,15,20,,совмещенный,,,евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,монолитный,2024,2,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.63214300,55.70638664",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_95_m_1520_et._7325746710
"3-к. квартира, 87,7 м², 3/3 эт.",79000000,"Москва, ул. Сретенка, 9",11 мая 07:54,Monumental Group,Monumental Group,3948977574,3,7,,20 м²,3,3,3 м,"совмещенный, раздельный",,"во двор, на улицу",дизайнерский,,есть,,дизайнерский ремонт,монолитно-кирпичный,2004,1,,"закрытая территория, детская площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.63145100,55.76781800",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_877_m_33_et._3948977574
"3-к. квартира, 86 м², 22/25 эт.",32000000,"Москва, ул. Маргелова, 3к2",3 мая 17:01,Chateau Homes,Chateau Homes,7344670901,3,86,,16 м²,22,25,,совмещенный,,,евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,монолитный,2022,2,1,"детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54110130,55.77716301",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_86_m_2225_et._7344670901
"3-к. квартира, 88,1 м², 8/18 эт.",13999000,Этажи Москва,11 мая 12:15,Этажи Москва,Этажи Москва,4907529675,3,1,,,8,18,,,,,ремонт от,,есть,,дизайнерский ремонт,,,,,,,Жк Аникеевский,,прямая продажа,,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.",,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_881_m_818_et._4907529675
"3-к. квартира, 56,1 м², 4/5 эт.",12800000,"Москва, Тушинская ул., 11",,ПРОСТОР-недвижимость,ПРОСТОР-недвижимость,4756275623,3,1,40 м²,5 м²,4,5,,раздельный,балкон,на улицу,требует ремонта,,,,дизайнерский ремонт,кирпичный,1965,нет,нет,,,Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.44780000,55.82663000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_561_m_45_et._4756275623
"3-к. квартира, 79,2 м², 8/9 эт.",12959185,"Москва, Новомосковский административный округ, район Щербинка, жилой комплекс Подольские Кварталы, к4",1 мая 06:41,Группа «Самолет»,Группа «Самолет»,4476042819,3,2,44.5 м²,12.5 м²,8,9,2.8 м,"совмещенный, раздельный",,,,,"ю
бессрочно
Рассрочка на 3 года
до 31.05.25
Trade-in
до 15.05.25
Скидка 5",,без отделки,монолитный,,,1,"детская площадка, спортивная площадка",открытая во дворе,ЖК «Подольские Кварталы»,Дом 4,прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51843000,55.47439000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_792_m_89_et._4476042819
"3-к. квартира, 80,5 м², 10/14 эт.",16829610,"Новомосковский административный округ, район Щербинка, село Остафьево, жилой комплекс Остафьево, к22",22 апреля 05:40,Группа «Самолет»,Группа «Самолет»,3580488036,3,5,59.7 м²,5.2 м²,10,14,2.8 м,"совмещенный, раздельный",,,,,"ю
бессрочно
Рассрочка на 3 года
до 31.05.25
Trade-in
до 15.05.25
Скидка 5",,чистовая,монолитный,,1,1,"детская площадка, спортивная площадка",открытая во дворе,ЖК «Остафьево»,Дом 22,прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52495000,55.49679000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_805_m_1014_et._3580488036
"3-к. квартира, 62,9 м², 5/12 эт.",14500000,"Москва, Алтуфьевское ш., 58А",,Владис,Владис,7261298442,3,9,45.3 м²,6.6 м²,5,12,2.6 м,раздельный,балкон,во двор,косметический,,,,дизайнерский ремонт,панельный,1979,1,,Ремонт,открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59007500,55.88200000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_629_m_512_et._7261298442
"3-к. квартира, 80 м², 10/42 эт.",38500000,"Москва, Багратионовский пр., 5Ак1",,Harmony Homes,Harmony Homes,4264237074,3,80,,12 м²,10,42,,совмещенный,,,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитный,2021,2,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51024200,55.74262500",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_80_m_1042_et._4264237074
"3-к. квартира, 62 м², 22/40 эт.",28200000,"Москва, б-р Братьев Весниных, 9",,Onyx Estate,Onyx Estate,7355067207,3,62,,15 м²,22,40,3 м,раздельный,,,дизайнерский,,,,"Год постройки, расположение, ремонт и",монолитный,2023,1,1,"детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64078500,55.69900000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_62_m_2240_et._7355067207
"3-к. квартира, 85 м², 26/52 эт.",55800000,"Москва, Мичуринский пр-т, 56",7 мая 15:36,RealtyArt,RealtyArt,7287581521,3,85,,13 м²,26,52,,Качественный,,,дизайнерский,,,,дизайнерский ремонт,монолитный,,,,"закрытая территория, детская площадка, спортивная площадка",подземная,Небо,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.48572700,55.69550900",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_85_m_2652_et._7287581521
"3-к. квартира, 104,2 м², 5/12 эт.",55000000,"Москва, Люблинская ул., 163/1",27 апреля 12:48,АН &quot;На Петровке&quot;,"АН ""На Петровке""",4391885837,3,2,75 м²,15 м²,5,12,3 м,раздельный,лоджия,во двор,евро,,,,дизайнерский ремонт,панельный,1999,1,нет,Ремонт,наземная многоуровневая,Жк Донской,,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.74452200,55.65132300",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1042_m_512_et._4391885837
"3-к. квартира, 72,5 м², 16/17 эт.",18250000,"Москва, Митинская ул., 46",,ГОРОБМЕН,ГОРОБМЕН,7262342313,3,5,43 м²,11 м²,16,17,,совмещенный,лоджия,,косметический,,,,дизайнерский ремонт,монолитный,,1,1,"детская площадка, спортивная площадка",,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.35716900,55.84981700",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_725_m_1617_et._7262342313
"3-к. квартира, 60 м², 2/9 эт.",17940000,"Москва, ул. Мнёвники, 12",10 мая 14:29,АН Инфинити,АН Инфинити,7262213380,3,60,43 м²,6 м²,2,9,2.6 м,совмещенный,балкон,"во двор, на улицу",евро,,"кухня, хранение одежды, спальные места",есть,дизайнерский ремонт,панельный,,1,,", на улицу
Ремонт",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49037100,55.77382900",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_60_m_29_et._7262213380
"3-к. квартира, 94,7 м², 4/14 эт.",53300000,"Москва, Ломоносовский пр-т, 29к2",28 апреля 12:29,ЧестнокофЪ,ЧестнокофЪ,5153767781,3,7,,38 м²,4,14,3 м,совмещенный,,на улицу,косметический,,есть,,"выполнена из прочных материалов, которые устойчивы к внешним воздействиям.
Что здесь можно выделить",монолитный,2006,1,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Сказочный Лес,"ов, высота каждого из которых достигает 24 этажей. В проектировании и строительстве использованы дорогие и качественные материалы, а современный дизайн подчеркивает статус и хороший вкус владельцев роскошной недвижимости. Наружная отделка выполнена из прочных материалов, которые устойчивы к внешним воздействиям.
Что здесь можно выделить","ПОКУПКА максимально простая. Квартира без обременений. Быстрый выход на сделку. Свободная продажа. Поможем сделать выгодный трейд-ин, выкупим вашу квартиру. Прямая продажа от собственника. Подойдет под ипотеку, которую мы поможем бесплатно одобрить на выгодных условиях.",свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51509300,55.70230700",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_947_m_414_et._5153767781
"3-к. квартира, 89 м², 4/6 эт.",71200000,"Москва, Шлюзовая наб., 2А",,GRealty,GRealty,7382844278,3,89,,22 м²,4,6,3 м,совмещенный,,"во двор, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитный,2017,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64401900,55.73095300",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_89_m_46_et._7382844278
"3-к. апартаменты, 79 м², 10/22 эт.",27730000,"Москва, Северный административный округ, Хорошёвский район, жилой комплекс Зорге 9, 9Ак7",13 апреля 16:52,"Агентство недвижимости &quot;Мегаполис-Сервис ЭстейтЛига&quot;, Москва","Агентство недвижимости ""Мегаполис-Сервис ЭстейтЛига"", Москва",7201568062,3,79,49.4 м²,12.3 м²,10,22,"3,28","совмещенный, раздельный",,"во двор, на улицу",требует ремонта,,,,"Год постройки, расположение, ремонт и",монолитный,", расположение, ремонт и ещё 12 параметров  
Расположение
Москва, Северный административный округ, Хорошёвский район, жилой комплекс Зорге 9, 9Ак7
Хорошёво11",,,", на улицу
Ремонт",,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50748400,55.78292700",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_79_m_1022_et._7201568062
"3-к. квартира, 55,8 м², 1/9 эт.",14450000,"Москва, Студёный пр., 34к1",,БЕСТ-Недвижимость на Баррикадной,БЕСТ-Недвижимость на Баррикадной,4587294615,3,8,37.6 м²,6.1 м²,1,9,2.6 м,раздельный,лоджия,на улицу,евро,,,,"Кваpтира c евроремонтом и полной заменой электропроводки, утепленные полы, пластиковые окна в квартире и в лоджии фирмы RЕНАU.",панельный,1973,1,,,,Жк Донской,,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.67105800,55.89148100",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_558_m_19_et._4587294615
"Аукцион: 3-к. квартира, 62,6 м², 4/12 эт.",9420000,"Москва, Белореченская ул., 21",,Департамент недвижимости,Департамент недвижимости,7342585648,3,6,43.9 м²,6.4 м²,4,12,,,,,косметический,,есть,,дизайнерский ремонт,панельный,1981,,,"ец, ВМХ-велодром. Гимназия",есть,Жк Донской,,аукцион,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.76646800,55.67145300",https://www.avito.ru/moskva/kvartiry/auktsion_3-k._kvartira_626_m_412_et._7342585648
"3-к. квартира, 90 м², 20/29 эт.",51900000,"Москва, Береговой пр., 3",22 апреля 11:45,Rich Pich,Rich Pich,7285873039,3,90,,20.1 м²,20,29,3 м,"совмещенный, раздельный",,во двор,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,монолитный,2020,2,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50886700,55.75737900",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_90_m_2029_et._7285873039
"3-к. квартира, 71,9 м², 13/28 эт.",30262710,"1-й Дубровский проезд, вл. 78/14",13 апреля 15:24,ПИК,ПИК,7201196819,3,9,33.3 м²,24 м²,13,28,2.6 м,"совмещенный, раздельный",,во двор,,,,,чистовая,монолитный,,1,1,Отделка,подземная,Первый Дубровский,Корпус 1.2 (1 этап),возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 2 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.68454000,55.72445000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_719_m_1328_et._7201196819
"3-к. квартира, 98,9 м², 4/25 эт.",42900000,"Москва, б-р Генерала Карбышева, 16",,МИЭЛЬ,МИЭЛЬ,7292190584,3,9,61.3 м²,13.4 м²,4,25,,совмещенный,,"во двор, на улицу",дизайнерский,,есть,,дизайнерский ремонт,монолитно-кирпичный,2005,1,1,", на улицу
Ремонт",есть,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47205400,55.78071400",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_989_m_425_et._7292190584
"3-к. апартаменты, 70,9 м², 17/29 эт.",24637750,"ул. Намёткина, д. 10, сек. 1",25 апреля 18:31,ГК Основа,ГК Основа,2926807340,3,9,57.8 м²,8.1 м²,17,29,,,,,,,,,без отделки,монолитный,,,,"овое пространство, выполненное в концепции",есть,«NAMETKIN TOWER» (Наметкин Тауэр),Секция 1,прямая продажа,,ДДУ по ФЗ 214,Сдача в 2 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55159000,55.66158000",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_709_m_1729_et._2926807340
"3-к. квартира, 102,1 м², 4/9 эт.",46375000,"Москва, Верхняя ул., 22",,АН &quot;SweetHome&quot;,"АН ""SweetHome""",4730900114,3,1,36.9 м²,19.8 м²,4,9,,совмещенный,,во двор,дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина","Год постройки, расположение, ремонт и",монолитный,2019,2,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57202800,55.78002100",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1021_m_49_et._4730900114
