Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"1-к. квартира, 39 м², 12/14 эт.",9500000,"Москва, ул. Перерва, 34",,Пользователь,Пользователь,7280968590,1,39,,8 м²,12,14,,раздельный,,на солнечную сторону,требует ремонта,,,,"Год постройки, расположение, ремонт и",панельный,1988,2,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73431015,55.65062714",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_39_m_1214_et._7280968590
"1-к. квартира, 30 м², 2/21 эт.",14094000,"пр-д 2-й Павелецкий, вл. 4/6",11 апреля 16:10,FORMA,FORMA,7336502364,1,30,14.9 м²,7.9 м²,2,21,3 м,,"ами, террасами, мастер-спальнями и гардеробными. Высота потолков от 3,1 м. На последнем этаже пентхаусы с каминами и высотой потолков 3,6 м. Дизайнерское гранд-лобби для резидентов с фит-рум, коворкингом и общественной гостиной. Двухуровневый подземный паркинг и келлеры.
О застройщике
Группа компаний",,,,,,без отделки,монолитный,,,,ов,,ЖК «PAVE»,Корпус 5 (1 этап),прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64203000,55.71261000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_30_m_221_et._7336502364
"1-к. квартира, 35 м², 5/12 эт.",9900000,"Москва, Зелёный пр-т, 40к1",,Пользователь,Пользователь,7344684444,1,35,20 м²,10 м²,5,12,2.7 м,совмещенный,лоджия,во двор,косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,блочный,1969,2,,"детская площадка, спортивная площадка",открытая во дворе,Жк Аквамарин,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.80464554,55.75254440",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_512_et._7344684444
"1-к. апартаменты, 25,6 м², 6/18 эт.",5721350,"ул. Берёзовая аллея, д. 19, корп. 4",,Domofond,Domofond,7361021153,1,6,,,6,18,,,,,,,,,без отделки,монолитно-кирпичный,,,,,есть,Апарт-комплекс «Легендарный квартал»,Корпус 1 (Этап 2),прямая продажа,,другое,Сдан 2 кв. 2023,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.62308000,55.85081000",https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_256_m_618_et._7361021153
"3-к. квартира, 50,6 м², 1/9 эт.",11990000,"Москва, ул. Красного Маяка, 13Ак1",,Ключ Клик,Ключ Клик,4849501075,3,6,33.9 м²,6 м²,1,9,2.6 м,раздельный,лоджия,"во двор, на улицу",косметический,,"кухня, хранение одежды, спальные места",,🔧Капитальный ремонт: В 2023 году проведен капитальный ремонт инженерных систем водо- и теплоснабжения по всему дому. Квартира в собственности более 10 лет.,панельный,1975,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57962800,55.61064600",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_506_m_19_et._4849501075
"2-к. квартира, 71,5 м², 3/16 эт.",42713187,"ул.Октябрьская, вл. 103",28 апреля 14:47,Эталон Москва,Эталон Москва,7277534496,2,5,28.9 м²,20.9 м²,3,16,3 м,,,,,,,,без отделки,монолитный,,,,"Парковка
Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк ДОМ.РФ
22","Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк ДОМ.РФ
22",ЖК «Mariinn Park»,"MariInn Park в Mariinn Park на 3 этаже, с площадью 71.5 м2.
О застройщике
Группа компаний",прямая продажа,,ДДУ по ФЗ 214,Сдача в 1 кв. 2027 — 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.61223000,55.79898000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_715_m_316_et._7277534496
"3-к. квартира, 62,8 м², 1/12 эт.",14300000,"Москва, Кировоградская ул., 10к1",,Пользователь,Пользователь,7330263249,3,8,,7.2 м²,1,12,,раздельный,балкон,"во двор, на улицу",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,панельный,1971,1,,"закрытая территория, детская площадка",за шлагбаумом во дворе,Жк Донской,,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.60909271,55.62490463",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_628_m_112_et._7330263249
"2-к. квартира, 61 м², 8/44 эт.",25900513,"ул. Ивана Франко, корп. 4.1",1 мая 21:08,Среда,Среда,4243237960,2,61,22.5 м²,22.1 м²,8,44,2.9 м,,,Высота потолков,,,,,предчистовая,монолитный,,,,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Среда на Кутузовском»,Корпус 4.1,прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.43305000,55.72818000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_61_m_844_et._4243237960
"2-к. апартаменты, 42 м², 1/30 эт.",17200000,"Москва, ул. Адмирала Макарова, 6Бк1",,Пользователь,Пользователь,7360522519,2,42,15 м²,11 м²,1,30,2.7 м,раздельный,,"во двор, на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды","кондиционер, холодильник, стиральная машина, водонагреватель",дизайнерский ремонт,монолитно-кирпичный,2018,3,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",Жк Сердце Ростова,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49187088,55.83576584",https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_42_m_130_et._7360522519
"3-к. апартаменты, 79,9 м², 22/23 эт.",42622800,"ул. Зорге, д. 9А, корп. 1",5 мая 17:52,St. Michael,St. Michael,7334649384,3,9,,20.6 м²,22,23,,,,"ми. В угловых апартаментах благодаря сплошному остеклению реализован эффект стеклянной стены. Элегантные лобби с дизайнерской отделкой премиальными материалами, lоungе-зона для отдыха и встреч с гостями, кафе с камином и легким эмбиентом, стильная отделка холлов гармонично перекликается с фасадами в стиле архитектуры Нью-Йорка.",,,,,без отделки,кирпичный,,,,в одном из лучших районов для жизни в Москве. Роскошная инфраструктура комплекса,,Квартал «ЗОРГЕ 9»,Корпус 1,прямая продажа,,другое,Сдан 3 кв. 2023,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50939000,55.78324000",https://www.avito.ru/moskva/kvartiry/3-k._apartamenty_799_m_2223_et._7334649384
"5-к. квартира, 152 м², 7/25 эт.",113000000,"Москва, Живописная ул., 21А",,La Richesse,La Richesse,3556166382,5,152,,40 м²,7,25,3 м,совмещенный,лоджия,во двор,дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитно-кирпичный,,1,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.44855400,55.79333300",https://www.avito.ru/moskva/kvartiry/5-k._kvartira_152_m_725_et._3556166382
"3-к. квартира, 70,4 м², 6/13 эт.",27476592,"Очаковское ш., 2 этап, стр. 5.6",12 апреля 03:37,Среда,Среда,7346591934,3,4,35.6 м²,18.6 м²,6,13,2.9 м,,,Высота потолков,,,,,предчистовая,монолитный,,,,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Среда на Лобачевского»,"2 этап, Корпус 5.6",прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45903000,55.69113000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_704_m_613_et._7346591934
"Аукцион: апартаменты-студия, 24,4 м², 15/24 эт.",7844540,"Москва, Окружной пр., 10Б",,"ИП Вилкова Светлана Николаевна (юрист, торги по банкротству)","ИП Вилкова Светлана Николаевна (юрист, торги по банкротству)",7354724635,,4,,,15,24,,совмещенный,,,евро,,,,дизайнерский ремонт,монолитный,2024,2,2,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Аура,,аукцион,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.74336300,55.79287800",https://www.avito.ru/moskva/kvartiry/auktsion_apartamenty-studiya_244_m_1524_et._7354724635
"2-к. квартира, 73,4 м², 16/21 эт.",45353860,"ул. Нижние Мневники, з/у 12Б",27 апреля 04:33,ДОНСТРОЙ,ДОНСТРОЙ,4632766379,2,4,29.3 м²,26.4 м²,16,21,3.1 м,совмещенный,,во двор,,,,,без отделки,монолитный,,,,"закрытая территория, детская площадка, спортивная площадка",,ЖК «Остров»,7 корпус (Квартал 7),прямая продажа,,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45928000,55.74541000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_734_m_1621_et._4632766379
"4-к. квартира, 145,2 м², 18/18 эт.",98358480,"ул. Нижние Мневники, ЖК «Остров»",26 апреля 04:34,ДОНСТРОЙ,ДОНСТРОЙ,4025121778,4,2,96.9 м²,10 м²,18,18,3.6 м,совмещенный,балкон,"во двор, на улицу",,,,,без отделки,монолитный,,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Остров»,6 корпус (Квартал 6),Продажа Квартир 3 Х Комнатных,,ДДУ по ФЗ 214,Сдача в 3 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45562000,55.74692000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1452_m_1818_et._4025121778
"2-к. квартира, 46 м², 8/9 эт.",11500000,"Москва, Беловежская ул., 61",,Пользователь,Пользователь,4543116022,2,46,30 м²,7 м²,8,9,,совмещенный,,на улицу,косметический,,кухня,,дизайнерский ремонт,панельный,1965,1,нет,детская площадка,открытая во дворе,Жк Гармония Парк,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.39563500,55.70878000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_46_m_89_et._4543116022
"2-к. апартаменты, 51,7 м², 21/21 эт.",16548848,"пр-д Автомобильный, вл. 4",24 апреля 22:37,COLDY,COLDY,3709870960,2,7,,,21,21,3 м,,,,,,,,без отделки,монолитный,,4,4,"закрытая территория, детская площадка, спортивная площадка",подземная,Комплекс апартаментов N'ICE LOFT,Корпус 7,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 2 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69856000,55.72988000",https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_517_m_2121_et._3709870960
"2-к. квартира, 46,4 м², 11/12 эт.",11000000,"Москва, Клязьминская ул., 4",,Надежда,Надежда,7280261543,2,4,28 м²,9.5 м²,11,12,2.6 м,совмещенный,балкон,,косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",блочный,1967,2,нет,детская площадка,открытая во дворе,Жк Гармония,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.52018600,55.88367100",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_464_m_1112_et._7280261543
"1-к. квартира, 40 м², 8/12 эт.",10000000,"Москва, Лебедянская ул., 17к1",,Пользователь,Пользователь,7366184543,1,40,21 м²,8.6 м²,8,12,2.7 м,раздельный,балкон,во двор,косметический,,кухня,,"Год постройки, расположение, ремонт и",панельный,1983,2,,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.67060089,55.58781052",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_40_m_812_et._7366184543
"2-к. квартира, 37,9 м², 9/20 эт.",22214674,"ул. Берзарина, вл. 37",6 мая 19:54,St. Michael,St. Michael,7238333867,2,9,,5 м²,9,20,,,,,,,,,без отделки,монолитно-кирпичный,,,,"Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк ДОМ.РФ
22",,ЖК «Квартал Серебряный бор»,Корпус 1,прямая продажа,,ДДУ по ФЗ 214,Сдача в 2 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46313000,55.79066000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_379_m_920_et._7238333867
"Апартаменты-студия, 36,5 м², 1/6 эт.",3050000,"Москва, Чапаевский пер., 12к4",,Дахайм недвижимость,Дахайм недвижимость,7356183541,,5,20 м²,,1,6,2.8 м,совмещенный,,во двор,требует ремонта,,,,дизайнерский ремонт,кирпичный,1951,1,нет,детская площадка,открытая во дворе,Жк Преображение,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51785000,55.79890500",https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_365_m_16_et._7356183541
"2-к. апартаменты, 55,9 м², 13/21 эт.",16065738,"пр-д Автомобильный, вл. 4",24 апреля 00:08,COLDY,COLDY,4509779284,2,9,,,13,21,3 м,,,,,,,,без отделки,монолитный,,4,4,"закрытая территория, детская площадка, спортивная площадка",подземная,Комплекс апартаментов N'ICE LOFT,Корпус 4,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 2 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69635000,55.72979000",https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_559_m_1321_et._4509779284
"3-к. квартира, 66,1 м², 4/5 эт.",21800000,"Москва, Большая Филёвская ул., 55к1",,Unlock,Unlock,7274099935,3,1,45.2 м²,9 м²,4,5,2.5 м,раздельный,,"ми, видом во двор и на улицу",косметический,,,,дизайнерский ремонт,панельный,1959,,,и на улицу,,Жк Донской,,Продажа Квартир Трёхкомнатных,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46844300,55.73884500",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_661_m_45_et._7274099935
"Апартаменты-студия, 24,7 м², 1/21 эт.",9533802,"пр-д Автомобильный, вл. 4",5 мая 21:38,COLDY,COLDY,4061644658,,7,,,1,21,3 м,,,,,,,,без отделки,монолитный,,4,4,"закрытая территория, детская площадка, спортивная площадка",подземная,Комплекс апартаментов N'ICE LOFT,Корпус 6,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 2 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69796000,55.72988000",https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_247_m_121_et._4061644658
"2-к. квартира, 58 м², 21/22 эт.",37908800,"ул. Нижние Мневники, ЖК «Остров»",27 апреля 04:33,ДОНСТРОЙ,ДОНСТРОЙ,4024996092,2,58,27.1 м²,12.5 м²,21,22,3.1 м,совмещенный,балкон,на улицу,,,,,без отделки,монолитный,,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Остров»,6 корпус (Квартал 6),Продажа Квартир 3 Х Комнатных,,ДДУ по ФЗ 214,Сдача в 3 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45562000,55.74692000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_58_m_2122_et._4024996092
"Квартира-студия, 22 м², 1/9 эт.",5600000,"Москва, Профсоюзная ул., 146к2",,Пользователь,Пользователь,7352970574,,22,10 м²,,1,9,264 м,совмещенный,,во двор,требует ремонта,,,,"Год постройки, расположение, ремонт и",панельный,1972,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Семеновский Парк,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50643300,55.62490600",https://www.avito.ru/moskva/kvartiry/kvartira-studiya_22_m_19_et._7352970574
"3-к. квартира, 134,7 м², 14/18 эт.",108000000,"Москва, пр-т Вернадского, 97к3",,Пользователь,Пользователь,2229112831,3,7,57.4 м²,30 м²,14,18,3 м,"совмещенный, раздельный",лоджия,"во двор, на улицу",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитный,2004,2,2,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49024500,55.66712200",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1347_m_1418_et._2229112831
"1-к. апартаменты, 25,6 м², 6/18 эт.",5721350,"ул. Берёзовая аллея, д. 19, корп. 4",,Domofond,Domofond,7361021153,1,6,,,6,18,,,,,,,,,без отделки,монолитно-кирпичный,,,,,есть,Апарт-комплекс «Легендарный квартал»,Корпус 1 (Этап 2),прямая продажа,,другое,Сдан 2 кв. 2023,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.62308000,55.85081000",https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_256_m_618_et._7361021153
"2-к. квартира, 43,6 м², 4/9 эт.",17600000,"Москва, ул. Симоновский Вал, 19",,Пользователь,Пользователь,4589419983,2,6,31.6 м²,6 м²,4,9,2.6 м,совмещенный,балкон,"на улицу, на солнечную сторону",дизайнерский,,"кухня, хранение одежды, спальные места","холодильник, посудомоечная машина",дизайнерский ремонт,кирпичный,1963,1,нет,"закрытая территория, детская площадка",за шлагбаумом во дворе,Жк Маяковский Воронеж,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.66443634,55.72087097",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_436_m_49_et._4589419983
"2-к. квартира, 38,6 м², 12/14 эт.",13500000,"Москва, Инициативная ул., 8к2",,Недвижимость,Недвижимость,7285214956,2,6,24.3 м²,6 м²,12,14,2.7 м,раздельный,балкон,"во двор, на улицу, на солнечную сторону",косметический,,,,"фасада по аналогии с соседним домом. Обновлена штукатурка в местах общего пользования.
Инфраструктура и транспортная доступность",блочный,1973,2,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Гармония,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45710624,55.71736959",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_386_m_1214_et._7285214956
"3-к. квартира, 50,6 м², 1/9 эт.",11990000,"Москва, ул. Красного Маяка, 13Ак1",,Ключ Клик,Ключ Клик,4849501075,3,6,33.9 м²,6 м²,1,9,2.6 м,раздельный,лоджия,"во двор, на улицу",косметический,,"кухня, хранение одежды, спальные места",,🔧Капитальный ремонт: В 2023 году проведен капитальный ремонт инженерных систем водо- и теплоснабжения по всему дому. Квартира в собственности более 10 лет.,панельный,1975,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57962800,55.61064600",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_506_m_19_et._4849501075
"3-к. квартира, 88,4 м², 9/18 эт.",35876563,"ул. Автозаводская, вл. 23/75",28 апреля 14:47,Эталон Москва,Эталон Москва,7277592728,3,4,37.6 м²,21.6 м²,9,18,2.9 м,,,,,,,,без отделки,монолитный,,,,,,Жилой квартал «Shagal (Шагал)»,Очередь 3 Корпус 9,прямая продажа,,ДДУ по ФЗ 214,Сдача в 2 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64600000,55.69272000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_884_m_918_et._7277592728
"4-к. квартира, 136,7 м², 15/19 эт.",102169580,"ул. Нижние Мневники, з/у 12Б",26 апреля 04:34,ДОНСТРОЙ,ДОНСТРОЙ,7288300889,4,7,37.4 м²,41.7 м²,15,19,3.4 м,"совмещенный, раздельный","балкон, лоджия","во двор, на улицу",,,,,без отделки,монолитный,,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Остров»,3 корпус (Квартал 7),прямая продажа,,ДДУ по ФЗ 214,Сдача в 1 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45928000,55.74541000",https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1367_m_1519_et._7288300889
"3-к. квартира, 105,8 м², 41/67 эт.",123000000,"Краснопресненская наб., д. 14, корп. 1",11 апреля 19:16,Capital Group,Capital Group,3619974094,3,8,88.2 м²,15.9 м²,41,67,3.1 м,,,"ориентированы на водную гладь Москва-реки и МГУ в одну сторону, и на башни Москва-Сити в другую. Квартира предлагается к продаже с дизайнерской отделкой от застройщика.
О застройщике
Группа компаний",,,,,чистовая,монолитный,,,,,,ЖК «Capital Towers»,Корпус А,прямая продажа,,другое,Сдан 2 кв. 2023,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54965000,55.75114000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1058_m_4167_et._3619974094
"2-к. квартира, 45,1 м², 6/33 эт.",35033509,"ул. Пресненский Вал, стр. 4.2",7 мая 14:44,Страна Девелопмент. МСК,Страна Девелопмент. МСК,7383061165,2,1,,,6,33,,,,"ми дарят захватывающие виды на Москву..
Отделка
Квартиры сдаются без отделки или в формате Whitе bох. При отделке Whitе bох уже были выполнены все шумные и грязные работы руками наших специалистов",,,,,чистовая,монолитный,,,,от британского бюро,,ЖК «Republic»,Green Корпус 4.2,прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57089000,55.77296000",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_451_m_633_et._7383061165
"3-к. квартира, 93,4 м², 8/19 эт.",43596000,"Огородный пр-д, з/у 4/7",Сегодня 11:06,Upside Development,Upside Development,3943619424,3,4,42.9 м²,22.1 м²,8,19,3 м,,,Тип комнат,,,,,предчистовая,монолитный,,,,"ы, природный комплекс, прогулочный бульвар, ландшафтный парк 2,5 га с сенсорным садом и многофункциональными игровыми и спортивными площадками.
В корпусе откроются магазины, кафе и рестораны, а также другие объекты коммерческой инфраструктуры. Большое внимание в проекте уделяется созданию социальной инфраструктуры. Между",,Квартал небоскребов Upside Towers,"2 очередь, корпус Олимп",прямая продажа,договор долевого участия,ДДУ по ФЗ 214,Сдача в 2 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.60854000,55.81158000",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_934_m_819_et._3943619424
"3-к. квартира, 55,2 м², 2/14 эт.",14000000,"Москва, Стартовая ул., 15к1",,Пользователь,Пользователь,7384002135,3,2,35.9 м²,6 м²,2,14,2.7 м,совмещенный,балкон,во двор,косметический,,кухня,,дизайнерский ремонт,панельный,1975,2,нет,Ремонт,открытая во дворе,Жк Донской,,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69790900,55.88587800",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_552_m_214_et._7384002135
"1-к. квартира, 45,6 м², 4/16 эт.",28900000,"Москва, ул. Василия Ланового, 3",,Пользователь,Пользователь,4819294020,1,6,14.6 м²,20 м²,4,16,3.1 м,совмещенный,,во двор,евро,,кухня,"кондиционер, холодильник, посудомоечная машина",дизайнерский ремонт,монолитный,2024,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",Жк Аура,,Продажа от собственника,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.47803879,55.69566345",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_456_m_416_et._4819294020
"2-к. апартаменты, 50,1 м², 11/18 эт.",15033000,"ул. Электродная , EVOPARK Измайлово",23 апреля 15:32,ГК Основа,ГК Основа,4654579003,2,1,42 м²,3.1 м²,11,18,,,"ы и панорамные окна с алюминиевыми профилями облегчают силуэт, делая его более прозрачным и воздушным.
О застройщике
Группа компаний","с алюминиевыми профилями облегчают силуэт, делая его более прозрачным и воздушным.
О застройщике
Группа компаний",,,"ю для деловых и личных встреч, предусмотрены места для хранения велосипедов, детских колясок. На прилегающей территории будут организованы уютные благоустроенные зоны для отдыха и прогулок, детские игровые площадки, разнообразная инфраструктура на первых этажах. Здания выполнены в современном архитектурном стиле. Сочетания вертикальных и горизонтальных",,без отделки,монолитно-кирпичный,,,,,есть,EVOPARK Измайлово (ЭВОПАРК Измайлово),,прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.75026000,55.75565000",https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_501_m_1118_et._4654579003
